,name,boro,zip,link,state,latlng,lat,lng
166,Good Shepherd Services - Chelsea Foyer At The Christopher,New York,10011,https://www.shelterlistings.org/details/19883/,NY,"40.7449064,-73.9957949",40.7449064,-73.9957949
167,Covenant House - Crisis Center (Youth Under 21 And Children),New York,10036,https://www.shelterlistings.org/details/20194/,NY,"40.7587155,-73.9956324",40.7587155,-73.9956324
169,Moravian Open Door New York,New York,10003,https://www.shelterlistings.org/details/30239/,NY,"40.7342460,-73.9811579",40.7342460,-73.9811579
170,H E L P Usa New York,New York,10004,https://www.shelterlistings.org/details/30215/,NY,"40.7049888,-74.0092062",40.7049888,-74.0092062
172,"Project Renewal, Inc. New York",New York,10014,https://www.shelterlistings.org/details/24639/,NY,"40.7366138,-74.0094471",40.7366138,-74.0094471
173,Project Hospitality - Drop-in Center,Staten Island,10301,https://www.shelterlistings.org/details/21147/,NY,"40.6411820,-74.0765569",40.6411820,-74.0765569
174,Senior Housing Resource Corporation Staten Island,Staten Island,10301,https://www.shelterlistings.org/details/23213/,NY,"40.6406930,-74.0760350",40.6406930,-74.0760350
176,Neighborhood Housing Services Of Staten Island Inc Staten Island,Staten Island,10310,https://www.shelterlistings.org/details/24527/,NY,"40.6346896,-74.1082581",40.6346896,-74.1082581
177,New Direction Services Inc Staten Island,Staten Island,10302,https://www.shelterlistings.org/details/24802/,NY,"40.6333160,-74.1344950",40.6333160,-74.1344950
178,Bikur Cholim Staten Island Inc Staten Island,Staten Island,10314,https://www.shelterlistings.org/details/24844/,NY,"40.5998590,-74.1348570",40.5998590,-74.1348570
179,"Christmas In April Queens, Inc. Staten Island",Staten Island,10304,https://www.shelterlistings.org/details/24867/,NY,"40.6275780,-74.0768450",40.6275780,-74.0768450
180,Northfield Community Ldc Of Staten Island Inc Staten Island,Staten Island,10302,https://www.shelterlistings.org/details/24927/,NY,"40.6365380,-74.1319390",40.6365380,-74.1319390
181,Omnum Staten Island,Staten Island,10306,https://www.shelterlistings.org/details/24937/,NY,"40.5546060,-74.1341580",40.5546060,-74.1341580
182,Neighborhood Housing Services Of Staten Island Staten Island,Staten Island,10310,https://www.shelterlistings.org/details/27494/,NY,"40.6343279,-74.1225780",40.6343279,-74.1225780
184,Nyc Comm. On Human Rights - Staten Island Community Service Center Staten Island,Staten Island,10301,https://www.shelterlistings.org/details/27496/,NY,"40.6405030,-74.0761392",40.6405030,-74.0761392
185,Covenant House New York - Staten Island Community Resource Center,Staten Island,10301,https://www.shelterlistings.org/details/20193/,NY,"40.6402530,-74.0759600",40.6402530,-74.0759600
186,Project Hospitality - Interfaith Bed Network,Staten Island,10302,https://www.shelterlistings.org/details/21148/,NY,"40.6380700,-74.1321970",40.6380700,-74.1321970
